record_id,year,central_ministry,central_scheme,state,district,city,state_scheme,project_type,vendor_name,central_allocated_funds,state_received_funds,district_received_funds,project_budget,spent_amount,fund_utilization_rate,project_status,project_start_date,expected_completion,actual_completion,citizen_complaints,citizen_rating,completion_verified
1238,2025,Ministry of Education,Digital India,Maharashtra,Pune,Hinjewadi,Smart City Initiative,Road Construction,Vendor_1007,137354166,42026198,29404753,20019220,11905410,0.595,Delayed,27-01-2024,27-04-2024,10-08-2024,212,1.56,No
1239,2024,Ministry of Infrastructure,PM Awas Yojana,Karnataka,Mysore,VV Mohalla,Urban Housing Scheme,Hospital Upgrade,Vendor_1090,87925112,26618957,8579480,5386716,6756899,1.254,Ongoing,05-01-2023,24-04-2023,06-06-2023,203,3.37,No
1240,2024,Ministry of Rural Development,PM Gram Sadak Yojana,Uttar Pradesh,Lucknow,Gomti Nagar,Smart City Initiative,Road Construction,Vendor_1035,190728657,60080760,46127187,36479858,19183453,0.526,Delayed,08-09-2024,06-02-2025,08-02-2025,9,1.47,Yes
1241,2023,Ministry of Health,PM Gram Sadak Yojana,Maharashtra,Nagpur,Dharampeth,Smart City Initiative,School Building,Vendor_1061,365504955,225626046,168871712,175116415,225687567,1.289,Ongoing,03-07-2023,28-09-2023,06-10-2023,187,2.02,Yes
1242,2024,Ministry of Rural Development,PM Gram Sadak Yojana,Gujarat,Ahmedabad,Navrangpura,Urban Transport Improvement,School Building,Vendor_1034,377272678,145648677,102553490,81672245,37501122,0.459,Ongoing,16-08-2024,27-11-2024,09-12-2024,121,4.09,No
1243,2024,Ministry of Infrastructure,PM Awas Yojana,Maharashtra,Mumbai,Bandra,State Road Development,Bridge Development,Vendor_1090,277834073,109159644,80086841,85186033,19942870,0.234,Completed,10-08-2024,28-01-2025,21-01-2025,235,1.28,Yes
1244,2025,Ministry of Infrastructure,PM Awas Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Urban Transport Improvement,Road Construction,Vendor_1023,348823793,115998122,55643299,61740974,67616264,1.095,Delayed,27-01-2023,14-06-2023,08-06-2023,252,3.27,No
1245,2023,Ministry of Education,PM Awas Yojana,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Transport Improvement,Water Pipeline,Vendor_1059,190742226,113112782,37100923,25631673,5130729,0.2,Completed,08-02-2023,19-07-2023,24-07-2023,83,3.89,No
1246,2025,Ministry of Infrastructure,Jal Jeevan Mission,Karnataka,Bangalore,Whitefield,Urban Housing Scheme,Hospital Upgrade,Vendor_1039,110900030,66521388,49062913,28089618,17329255,0.617,Completed,31-08-2024,17-12-2024,01-03-2025,45,4.07,No
1247,2023,Ministry of Rural Development,Ayushman Bharat,Maharashtra,Pune,Hinjewadi,Smart City Initiative,Hospital Upgrade,Vendor_1001,345113794,235996057,173525172,97666511,103290483,1.058,Delayed,01-03-2023,28-06-2023,27-09-2023,121,1.41,Yes
1248,2025,Ministry of Education,Ayushman Bharat,Uttar Pradesh,Lucknow,Gomti Nagar,Smart City Initiative,Water Pipeline,Vendor_1078,269981316,125334897,80271189,49622241,60592789,1.221,Delayed,30-05-2024,04-11-2024,24-01-2025,236,4.11,Yes
1249,2023,Ministry of Education,Jal Jeevan Mission,Maharashtra,Pune,Hinjewadi,Smart City Initiative,Road Construction,Vendor_1065,74100556,41970326,29676086,12067278,12978677,1.076,Completed,23-01-2023,29-05-2023,16-05-2023,267,1.79,No
1250,2024,Ministry of Infrastructure,Jal Jeevan Mission,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Housing Scheme,Water Pipeline,Vendor_1015,51925510,33674244,19338920,11607182,6273966,0.541,Delayed,18-06-2024,23-08-2024,15-11-2024,83,2.42,Yes
1251,2024,Ministry of Rural Development,Jal Jeevan Mission,Tamil Nadu,Madurai,Anna Nagar,State Road Development,Road Construction,Vendor_1046,51946532,30725903,18772604,11234397,7984130,0.711,Ongoing,19-07-2024,12-10-2024,02-12-2024,201,3.4,No
1252,2024,Ministry of Rural Development,Digital India,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Hospital Upgrade,Vendor_1071,280273978,94692404,68203122,50970309,58567527,1.149,Delayed,22-07-2024,13-12-2024,26-03-2025,94,3.57,Yes
1253,2023,Ministry of Education,Jal Jeevan Mission,Tamil Nadu,Chennai,T Nagar,Urban Transport Improvement,Water Pipeline,Vendor_1025,192731357,101640593,52615313,50836563,34520562,0.679,Ongoing,14-11-2023,30-01-2024,08-05-2024,105,4.23,Yes
1254,2025,Ministry of Education,Ayushman Bharat,Maharashtra,Mumbai,Bandra,Urban Housing Scheme,School Building,Vendor_1066,162073328,65191724,50081004,23762848,23372812,0.984,Ongoing,28-07-2023,23-12-2023,26-03-2024,152,1.18,Yes
1255,2024,Ministry of Rural Development,Ayushman Bharat,Karnataka,Mysore,VV Mohalla,State Road Development,Water Pipeline,Vendor_1083,170105879,106035015,39896967,31323305,21770130,0.695,Delayed,25-11-2024,27-03-2025,28-06-2025,82,1.51,No
1256,2025,Ministry of Rural Development,PM Gram Sadak Yojana,Karnataka,Bangalore,Indiranagar,Smart City Initiative,School Building,Vendor_1085,105990980,58153067,20189454,15129134,5550798,0.367,Completed,21-04-2023,07-09-2023,10-11-2023,8,3.2,Yes
1257,2025,Ministry of Infrastructure,PM Gram Sadak Yojana,Tamil Nadu,Madurai,Anna Nagar,Urban Transport Improvement,Hospital Upgrade,Vendor_1057,370076589,207149112,142797172,164461283,58738471,0.357,Delayed,24-01-2024,18-05-2024,19-05-2024,111,2.79,No
1258,2024,Ministry of Infrastructure,Jal Jeevan Mission,Gujarat,Surat,Adajan,Urban Housing Scheme,Hospital Upgrade,Vendor_1028,391680140,227864037,163528652,156787996,97412902,0.621,Ongoing,30-12-2023,27-04-2024,31-05-2024,250,3.9,No
1259,2024,Ministry of Education,PM Awas Yojana,Tamil Nadu,Madurai,Anna Nagar,Smart City Initiative,Bridge Development,Vendor_1085,242298588,82097684,34034642,17970419,10696038,0.595,Ongoing,07-08-2024,13-12-2024,21-03-2025,199,3.86,Yes
1260,2023,Ministry of Infrastructure,Digital India,Tamil Nadu,Madurai,Anna Nagar,State Road Development,Road Construction,Vendor_1051,257189221,136892671,96841542,56216126,17524598,0.312,Delayed,11-10-2023,24-12-2023,15-02-2024,190,2.62,No
1261,2024,Ministry of Infrastructure,Jal Jeevan Mission,Maharashtra,Nashik,Panchavati,State Road Development,Road Construction,Vendor_1033,351821967,234686149,164828680,139740892,116056697,0.831,Completed,25-05-2024,05-10-2024,24-12-2024,86,1.11,Yes
1262,2024,Ministry of Infrastructure,Digital India,Karnataka,Hubli,Keshwapur,State Road Development,Water Pipeline,Vendor_1079,183349694,108459945,75272370,37211838,39065519,1.05,Ongoing,25-11-2024,01-04-2025,22-04-2025,129,4.63,No
1263,2023,Ministry of Health,PM Gram Sadak Yojana,Uttar Pradesh,Varanasi,Sigra,State Road Development,Hospital Upgrade,Vendor_1090,351935474,194718009,135200554,115830764,50392159,0.435,Ongoing,11-06-2023,17-10-2023,17-09-2023,21,4.49,No
1264,2024,Ministry of Rural Development,Digital India,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Water Pipeline,Vendor_1099,310387430,141925353,68758971,64257822,56498644,0.879,Delayed,13-10-2024,02-01-2025,04-04-2025,113,1.16,Yes
1265,2025,Ministry of Education,Digital India,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Bridge Development,Vendor_1097,385492202,172615324,97810352,70125449,65817735,0.939,Ongoing,20-04-2023,09-10-2023,30-01-2024,287,1.34,No
1266,2024,Ministry of Infrastructure,PM Awas Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Urban Housing Scheme,Water Pipeline,Vendor_1070,104483865,59309917,28148941,12222104,10988288,0.899,Ongoing,15-01-2024,23-03-2024,21-07-2024,56,2.69,Yes
1267,2023,Ministry of Rural Development,PM Gram Sadak Yojana,Karnataka,Mysore,VV Mohalla,Urban Housing Scheme,Road Construction,Vendor_1017,321619143,140270078,83612464,65795064,73352712,1.115,Ongoing,11-09-2024,13-12-2024,30-01-2025,142,1.32,No
1268,2024,Ministry of Infrastructure,Jal Jeevan Mission,Maharashtra,Nagpur,Dharampeth,Urban Transport Improvement,School Building,Vendor_1020,155721846,104996732,61716610,57119585,43652555,0.764,Ongoing,22-03-2024,17-07-2024,22-10-2024,257,3.62,Yes
1269,2024,Ministry of Health,PM Awas Yojana,Tamil Nadu,Chennai,T Nagar,Urban Housing Scheme,Bridge Development,Vendor_1097,142639495,89825143,41693101,29240093,17737780,0.607,Completed,29-01-2023,19-04-2023,28-03-2023,126,2.76,No
1270,2024,Ministry of Infrastructure,PM Gram Sadak Yojana,Tamil Nadu,Coimbatore,RS Puram,Smart City Initiative,School Building,Vendor_1072,382397503,254805894,158395153,160638524,195913183,1.22,Completed,08-04-2023,22-06-2023,23-06-2023,240,4.61,No
1271,2025,Ministry of Infrastructure,Ayushman Bharat,Karnataka,Hubli,Keshwapur,Smart City Initiative,Bridge Development,Vendor_1077,191713194,69753450,46013191,50863170,28780027,0.566,Delayed,10-11-2023,25-03-2024,09-03-2024,207,3.5,Yes
1272,2025,Ministry of Health,PM Gram Sadak Yojana,Gujarat,Vadodara,Alkapuri,Urban Transport Improvement,Hospital Upgrade,Vendor_1053,53373956,22953952,16830732,18034428,11486895,0.637,Delayed,31-03-2024,08-08-2024,10-10-2024,164,2.41,Yes
1273,2024,Ministry of Education,PM Awas Yojana,Tamil Nadu,Chennai,T Nagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1024,86420579,46944675,22863345,16653740,19017334,1.142,Completed,06-04-2023,05-09-2023,15-09-2023,99,4.11,No
1274,2024,Ministry of Infrastructure,Digital India,Tamil Nadu,Madurai,Anna Nagar,State Road Development,Hospital Upgrade,Vendor_1048,294576303,173448829,127613534,122417732,130446368,1.066,Delayed,30-09-2024,11-01-2025,20-01-2025,292,2.21,No
1275,2024,Ministry of Health,PM Awas Yojana,Maharashtra,Pune,Hinjewadi,State Road Development,Hospital Upgrade,Vendor_1077,95825295,54425234,16869997,14944223,18227929,1.22,Completed,16-05-2023,28-09-2023,22-09-2023,12,1.05,Yes
1276,2023,Ministry of Education,Digital India,Uttar Pradesh,Varanasi,Sigra,Urban Transport Improvement,School Building,Vendor_1000,123464725,74678588,45676384,28692892,31965817,1.114,Completed,02-10-2023,15-01-2024,03-04-2024,32,3.44,Yes
1277,2025,Ministry of Infrastructure,Digital India,Gujarat,Vadodara,Alkapuri,Urban Transport Improvement,School Building,Vendor_1052,246777831,87799458,36562929,17096007,21970894,1.285,Delayed,31-03-2024,03-06-2024,12-09-2024,23,4.36,Yes
1278,2023,Ministry of Health,PM Awas Yojana,Gujarat,Ahmedabad,Navrangpura,State Road Development,Water Pipeline,Vendor_1001,380933964,128634040,79805482,94731783,94869170,1.001,Delayed,25-07-2024,14-11-2024,14-11-2024,116,3.18,No
1279,2024,Ministry of Education,Ayushman Bharat,Tamil Nadu,Chennai,T Nagar,Urban Housing Scheme,Water Pipeline,Vendor_1026,284890473,194804038,93303721,52903786,16729295,0.316,Completed,09-01-2023,05-04-2023,13-06-2023,254,2.23,Yes
1280,2025,Ministry of Health,Jal Jeevan Mission,Karnataka,Hubli,Keshwapur,State Road Development,School Building,Vendor_1058,320886387,182878824,123758534,50659781,30975882,0.611,Ongoing,16-03-2024,19-06-2024,09-08-2024,153,1.99,Yes
1281,2023,Ministry of Infrastructure,Digital India,Uttar Pradesh,Kanpur,Kalyanpur,Urban Transport Improvement,Road Construction,Vendor_1093,238246645,158221442,55767891,50162067,22575657,0.45,Ongoing,16-10-2023,16-03-2024,17-06-2024,243,1.74,No
1282,2025,Ministry of Health,PM Awas Yojana,Maharashtra,Mumbai,Borivali,State Road Development,Road Construction,Vendor_1093,155077581,53528328,28320653,23591730,6326989,0.268,Ongoing,19-05-2023,19-09-2023,07-12-2023,203,4.09,No
1283,2024,Ministry of Infrastructure,Digital India,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Transport Improvement,Water Pipeline,Vendor_1080,246866193,165962499,69678316,46300362,12440436,0.269,Delayed,20-09-2023,05-12-2023,29-12-2023,264,3.68,Yes
1284,2023,Ministry of Infrastructure,PM Awas Yojana,Karnataka,Mysore,VV Mohalla,Urban Housing Scheme,Road Construction,Vendor_1050,295145408,92348422,57340608,64681737,40176400,0.621,Completed,19-07-2023,18-09-2023,02-01-2024,197,1.65,Yes
1285,2023,Ministry of Rural Development,Jal Jeevan Mission,Tamil Nadu,Madurai,Anna Nagar,Smart City Initiative,Water Pipeline,Vendor_1060,105186920,67254610,21993856,18362793,16649092,0.907,Ongoing,21-04-2023,26-07-2023,24-10-2023,48,4.12,No
1286,2024,Ministry of Health,Ayushman Bharat,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Transport Improvement,Water Pipeline,Vendor_1076,96943460,49885378,25697975,21768263,12963464,0.596,Completed,04-10-2024,03-02-2025,16-02-2025,219,2.23,Yes
1287,2023,Ministry of Health,Jal Jeevan Mission,Gujarat,Surat,Adajan,Smart City Initiative,Water Pipeline,Vendor_1097,335565371,171285896,125737669,84168272,46220283,0.549,Delayed,13-09-2024,12-01-2025,30-01-2025,120,3.47,No
1288,2024,Ministry of Rural Development,PM Awas Yojana,Karnataka,Mysore,VV Mohalla,State Road Development,School Building,Vendor_1060,362063224,235582470,164087939,104391871,134719146,1.291,Ongoing,25-06-2024,24-09-2024,16-11-2024,74,5,No
1289,2023,Ministry of Education,Digital India,Tamil Nadu,Chennai,T Nagar,State Road Development,School Building,Vendor_1020,312717145,172523005,135145693,61619233,35193995,0.571,Ongoing,11-06-2023,03-10-2023,19-11-2023,90,4.24,Yes
1290,2025,Ministry of Infrastructure,Digital India,Uttar Pradesh,Lucknow,Gomti Nagar,Smart City Initiative,Water Pipeline,Vendor_1099,340690135,230092116,153139891,98901846,44756059,0.453,Delayed,12-04-2023,09-10-2023,29-12-2023,88,1.15,Yes
1291,2023,Ministry of Education,PM Awas Yojana,Karnataka,Bangalore,Whitefield,State Road Development,Bridge Development,Vendor_1025,375782877,259834712,130771105,147099662,98668707,0.671,Delayed,02-09-2023,04-02-2024,29-02-2024,71,4.24,No
1292,2025,Ministry of Education,Ayushman Bharat,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1043,337424310,158826138,84050806,60046076,40148752,0.669,Ongoing,30-10-2024,12-04-2025,22-04-2025,65,2.95,No
1293,2025,Ministry of Health,Digital India,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Bridge Development,Vendor_1081,309775687,201376857,106526935,113820103,63655791,0.559,Ongoing,20-12-2023,06-05-2024,17-06-2024,114,1.06,Yes
1294,2024,Ministry of Infrastructure,Jal Jeevan Mission,Karnataka,Bangalore,Whitefield,Smart City Initiative,Bridge Development,Vendor_1075,120609158,67525621,24850988,25839604,30823072,1.193,Ongoing,17-08-2024,18-12-2024,02-01-2025,232,3.93,No
1295,2025,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Chennai,T Nagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1098,273342721,153652981,92011880,75849260,47209451,0.622,Completed,17-06-2024,13-11-2024,22-02-2025,152,4.39,Yes
1296,2024,Ministry of Health,Jal Jeevan Mission,Maharashtra,Nashik,Panchavati,State Road Development,Hospital Upgrade,Vendor_1084,177592826,72454522,31821870,28477646,8771308,0.308,Ongoing,27-02-2023,19-07-2023,28-09-2023,290,3.85,No
1297,2025,Ministry of Health,Ayushman Bharat,Tamil Nadu,Coimbatore,RS Puram,Urban Housing Scheme,School Building,Vendor_1056,173628848,111771163,83277716,50130510,34460914,0.687,Delayed,19-02-2024,02-08-2024,02-08-2024,115,3.73,Yes
1298,2024,Ministry of Health,Ayushman Bharat,Karnataka,Bangalore,Indiranagar,Urban Transport Improvement,Hospital Upgrade,Vendor_1093,71842352,29558779,19570293,21487396,6353113,0.296,Delayed,01-05-2023,22-10-2023,24-12-2023,240,2.39,No
1299,2024,Ministry of Health,PM Awas Yojana,Tamil Nadu,Madurai,Anna Nagar,Urban Transport Improvement,Hospital Upgrade,Vendor_1077,396917976,136393828,83889488,92169948,24520537,0.266,Completed,28-05-2024,16-09-2024,30-12-2024,260,3.72,No
1300,2023,Ministry of Education,PM Awas Yojana,Uttar Pradesh,Varanasi,Sigra,State Road Development,Bridge Development,Vendor_1066,345047922,215389894,143728107,67338248,59790922,0.888,Delayed,27-05-2023,13-09-2023,21-08-2023,49,4.75,No
1301,2024,Ministry of Infrastructure,Ayushman Bharat,Maharashtra,Pune,Hinjewadi,Urban Transport Improvement,Bridge Development,Vendor_1064,238873155,121598539,49406360,23962993,29261333,1.221,Delayed,07-02-2024,03-05-2024,22-06-2024,81,1.24,Yes
1302,2025,Ministry of Health,Ayushman Bharat,Tamil Nadu,Madurai,Anna Nagar,State Road Development,Water Pipeline,Vendor_1025,201970354,116594347,71696138,28685809,17755732,0.619,Ongoing,05-07-2024,24-09-2024,28-09-2024,21,4.36,No
1303,2024,Ministry of Health,PM Gram Sadak Yojana,Tamil Nadu,Madurai,Anna Nagar,Urban Housing Scheme,Road Construction,Vendor_1023,354188415,155416176,65119305,71549888,22101294,0.309,Ongoing,06-01-2024,22-05-2024,08-05-2024,149,4.22,Yes
1304,2023,Ministry of Education,Ayushman Bharat,Gujarat,Vadodara,Alkapuri,Urban Transport Improvement,Bridge Development,Vendor_1078,383076592,152644526,67583985,80633307,97036930,1.203,Delayed,29-07-2024,29-09-2024,19-09-2024,237,3.28,Yes
1305,2023,Ministry of Education,Digital India,Tamil Nadu,Coimbatore,RS Puram,Urban Housing Scheme,Bridge Development,Vendor_1004,338611748,108437087,82154397,74931142,48728676,0.65,Delayed,25-11-2023,05-02-2024,20-02-2024,104,1.51,No
1306,2023,Ministry of Infrastructure,PM Gram Sadak Yojana,Maharashtra,Nagpur,Sitabuldi,Urban Transport Improvement,School Building,Vendor_1054,51813234,29283324,16178242,18189862,15613152,0.858,Delayed,17-07-2023,12-11-2023,02-12-2023,65,1.61,No
1307,2024,Ministry of Education,Ayushman Bharat,Uttar Pradesh,Kanpur,Kalyanpur,Urban Housing Scheme,School Building,Vendor_1084,370697776,132517887,77666905,60335681,38910237,0.645,Delayed,15-09-2023,09-03-2024,19-03-2024,208,4.1,No
1308,2025,Ministry of Health,Ayushman Bharat,Tamil Nadu,Coimbatore,RS Puram,State Road Development,Water Pipeline,Vendor_1048,188851110,116598561,69936284,76076720,31707009,0.417,Delayed,05-12-2023,05-02-2024,30-05-2024,215,4.17,Yes
1309,2023,Ministry of Education,PM Gram Sadak Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Bridge Development,Vendor_1052,105606171,41054066,14209869,10857481,13032903,1.2,Delayed,04-02-2023,05-04-2023,24-05-2023,4,2.74,No
1310,2024,Ministry of Education,Ayushman Bharat,Uttar Pradesh,Varanasi,Sigra,Urban Transport Improvement,School Building,Vendor_1064,97750256,48520474,33480849,39410860,30382391,0.771,Delayed,15-12-2023,25-02-2024,22-06-2024,273,4.59,No
1311,2024,Ministry of Rural Development,PM Gram Sadak Yojana,Uttar Pradesh,Kanpur,Kalyanpur,State Road Development,Road Construction,Vendor_1009,194850268,94883405,55203442,66196529,38763149,0.586,Completed,19-01-2023,10-05-2023,11-08-2023,212,4.08,Yes
1312,2025,Ministry of Health,Digital India,Gujarat,Ahmedabad,Navrangpura,State Road Development,Road Construction,Vendor_1070,321043009,99321025,63397615,63872579,58442178,0.915,Completed,15-10-2023,24-03-2024,04-05-2024,144,4.82,Yes
1313,2023,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Madurai,Anna Nagar,State Road Development,Water Pipeline,Vendor_1089,77668874,26362288,18207523,16306970,14195392,0.871,Ongoing,15-11-2024,14-04-2025,30-04-2025,121,1.16,No
1314,2024,Ministry of Education,Ayushman Bharat,Gujarat,Surat,Adajan,Urban Housing Scheme,School Building,Vendor_1033,359215833,169850331,67385573,64362135,33291302,0.517,Delayed,23-01-2024,19-06-2024,10-08-2024,243,3.45,No
1315,2024,Ministry of Education,PM Gram Sadak Yojana,Karnataka,Mysore,VV Mohalla,State Road Development,Hospital Upgrade,Vendor_1086,382076917,255695594,115365379,69775503,79011074,1.132,Delayed,19-07-2024,08-01-2025,12-03-2025,108,2.03,Yes
1316,2025,Ministry of Infrastructure,PM Gram Sadak Yojana,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Bridge Development,Vendor_1009,111417365,72029748,49069547,41483280,22663394,0.546,Ongoing,19-03-2023,11-06-2023,11-09-2023,163,3.08,No
1317,2023,Ministry of Education,PM Gram Sadak Yojana,Karnataka,Bangalore,Whitefield,Smart City Initiative,Bridge Development,Vendor_1033,365331184,146723953,78239024,68618059,50655399,0.738,Completed,19-05-2024,31-08-2024,23-10-2024,78,3.2,Yes
1318,2024,Ministry of Education,Digital India,Tamil Nadu,Coimbatore,RS Puram,State Road Development,Hospital Upgrade,Vendor_1054,320408899,163448165,123800214,99889101,75024089,0.751,Completed,10-03-2024,07-08-2024,10-09-2024,232,1.2,No
1319,2023,Ministry of Rural Development,PM Gram Sadak Yojana,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Transport Improvement,Water Pipeline,Vendor_1076,82341339,51256420,32871959,38253328,10022164,0.262,Completed,09-06-2023,22-10-2023,18-11-2023,84,4.32,Yes
1320,2024,Ministry of Health,PM Gram Sadak Yojana,Gujarat,Ahmedabad,Navrangpura,Urban Housing Scheme,Road Construction,Vendor_1023,250035543,109531647,58548712,56144884,53503475,0.953,Completed,10-02-2023,24-04-2023,26-04-2023,157,4.09,No
1321,2025,Ministry of Education,PM Awas Yojana,Tamil Nadu,Madurai,Anna Nagar,State Road Development,Hospital Upgrade,Vendor_1014,205807157,64392073,31521179,24465559,19523623,0.798,Ongoing,16-10-2024,31-01-2025,10-02-2025,72,3.49,Yes
1322,2025,Ministry of Infrastructure,PM Awas Yojana,Karnataka,Bangalore,Indiranagar,Urban Housing Scheme,Water Pipeline,Vendor_1006,212967089,93824284,46739421,25324937,28441306,1.123,Completed,27-09-2023,24-02-2024,21-06-2024,156,3.82,Yes
1323,2025,Ministry of Education,Ayushman Bharat,Maharashtra,Pune,Hinjewadi,Urban Housing Scheme,Water Pipeline,Vendor_1021,317215984,168621112,82885071,76295431,68137941,0.893,Delayed,10-06-2023,25-10-2023,30-01-2024,58,4.41,Yes
1324,2023,Ministry of Infrastructure,PM Awas Yojana,Karnataka,Mysore,VV Mohalla,Smart City Initiative,Bridge Development,Vendor_1057,248359220,75540420,45925711,38171214,42907131,1.124,Ongoing,26-07-2023,02-12-2023,10-02-2024,112,3.5,No
1325,2024,Ministry of Education,PM Awas Yojana,Karnataka,Bangalore,Whitefield,Urban Housing Scheme,Road Construction,Vendor_1019,342215378,164236601,128645637,102109343,95133557,0.932,Delayed,09-11-2023,30-04-2024,05-04-2024,191,1.12,No
1326,2024,Ministry of Education,Digital India,Tamil Nadu,Chennai,T Nagar,Urban Transport Improvement,Water Pipeline,Vendor_1089,113215318,67110510,44818821,45710046,47086515,1.03,Completed,11-06-2023,18-09-2023,09-10-2023,261,1.61,No
1327,2023,Ministry of Health,Jal Jeevan Mission,Uttar Pradesh,Kanpur,Kalyanpur,Urban Transport Improvement,Hospital Upgrade,Vendor_1053,172274156,79615008,54612518,48197825,34092976,0.707,Delayed,06-04-2023,06-06-2023,25-05-2023,16,2.43,No
1328,2024,Ministry of Education,PM Awas Yojana,Gujarat,Ahmedabad,Navrangpura,Smart City Initiative,Water Pipeline,Vendor_1026,399751001,184449257,64886788,76895103,73593190,0.957,Completed,19-01-2024,17-05-2024,27-04-2024,270,1.88,No
1329,2025,Ministry of Infrastructure,Jal Jeevan Mission,Karnataka,Mysore,VV Mohalla,Urban Transport Improvement,Water Pipeline,Vendor_1052,226685014,140265600,63996955,56857294,55215074,0.971,Delayed,27-09-2023,25-03-2024,13-06-2024,115,4.64,No
1330,2024,Ministry of Rural Development,PM Gram Sadak Yojana,Karnataka,Bangalore,Whitefield,Urban Transport Improvement,Hospital Upgrade,Vendor_1071,222345333,82096926,35350716,35415230,17366916,0.49,Completed,03-07-2023,20-12-2023,24-02-2024,29,1.31,No
1331,2025,Ministry of Rural Development,Digital India,Karnataka,Mysore,VV Mohalla,Urban Transport Improvement,Road Construction,Vendor_1064,347473901,186034410,144890397,87926461,89128379,1.014,Completed,12-03-2023,06-07-2023,16-09-2023,147,1.14,Yes
1332,2024,Ministry of Education,Jal Jeevan Mission,Karnataka,Hubli,Keshwapur,Urban Transport Improvement,Road Construction,Vendor_1080,283135328,179036937,57045764,34937114,31160114,0.892,Delayed,19-10-2023,06-02-2024,06-05-2024,21,2.2,Yes
1333,2023,Ministry of Education,Ayushman Bharat,Gujarat,Ahmedabad,Navrangpura,Urban Transport Improvement,Hospital Upgrade,Vendor_1045,162933929,72217103,51283229,49504261,54906666,1.109,Completed,06-10-2024,02-02-2025,11-05-2025,85,4.72,Yes
1334,2024,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Coimbatore,RS Puram,Urban Housing Scheme,Water Pipeline,Vendor_1050,352206389,166091971,55736801,66036352,50197444,0.76,Ongoing,22-01-2024,14-04-2024,15-05-2024,158,2.62,No
1335,2023,Ministry of Health,Jal Jeevan Mission,Gujarat,Surat,Adajan,Urban Transport Improvement,Water Pipeline,Vendor_1005,80916292,39059889,22123638,12244966,6306723,0.515,Delayed,24-09-2024,04-03-2025,18-02-2025,128,4.31,No
1336,2023,Ministry of Rural Development,PM Gram Sadak Yojana,Gujarat,Vadodara,Alkapuri,State Road Development,Bridge Development,Vendor_1030,365626172,149581755,114093484,76693759,94530282,1.233,Delayed,12-10-2023,29-03-2024,21-07-2024,17,4.92,No
1337,2025,Ministry of Infrastructure,Jal Jeevan Mission,Maharashtra,Nashik,Panchavati,Urban Housing Scheme,Road Construction,Vendor_1036,107275913,43976460,33836293,22692492,19049560,0.839,Delayed,29-06-2024,31-08-2024,17-10-2024,13,3.89,Yes
1338,2025,Ministry of Education,PM Gram Sadak Yojana,Maharashtra,Mumbai,Andheri,Smart City Initiative,Water Pipeline,Vendor_1062,144337479,64333601,26071260,26282247,11601347,0.441,Delayed,04-05-2024,02-10-2024,05-11-2024,257,3.55,Yes
1339,2023,Ministry of Infrastructure,PM Gram Sadak Yojana,Maharashtra,Nagpur,Sitabuldi,State Road Development,Hospital Upgrade,Vendor_1040,203214876,122219105,54557422,42978836,40937740,0.953,Ongoing,17-05-2024,17-09-2024,26-08-2024,285,2.65,No
1340,2024,Ministry of Rural Development,Ayushman Bharat,Karnataka,Mysore,VV Mohalla,Urban Transport Improvement,Water Pipeline,Vendor_1060,347347971,108784409,78657861,69769297,83978567,1.204,Ongoing,30-06-2024,11-12-2024,11-01-2025,268,1.79,No
1341,2023,Ministry of Rural Development,Digital India,Uttar Pradesh,Kanpur,Kalyanpur,State Road Development,School Building,Vendor_1093,155497341,98229016,51076053,51356404,55096935,1.073,Completed,29-12-2023,07-05-2024,09-08-2024,68,1.05,Yes
1342,2025,Ministry of Education,PM Gram Sadak Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Water Pipeline,Vendor_1097,261743485,127982434,72258918,77416854,75601200,0.977,Delayed,22-09-2024,15-02-2025,07-06-2025,272,2.8,Yes
1343,2024,Ministry of Health,PM Gram Sadak Yojana,Karnataka,Bangalore,Indiranagar,State Road Development,Hospital Upgrade,Vendor_1095,102104600,35448216,13614799,8774098,6007172,0.685,Completed,17-12-2023,21-02-2024,19-05-2024,251,1.16,Yes
